"id","name","content_type_id","codename"
1,"Can add permission",1,"add_permission"
2,"Can change permission",1,"change_permission"
3,"Can delete permission",1,"delete_permission"
4,"Can add group",2,"add_group"
5,"Can change group",2,"change_group"
6,"Can delete group",2,"delete_group"
7,"Can add user",3,"add_user"
8,"Can change user",3,"change_user"
9,"Can delete user",3,"delete_user"
10,"Can add message",4,"add_message"
11,"Can change message",4,"change_message"
12,"Can delete message",4,"delete_message"
13,"Can add content type",5,"add_contenttype"
14,"Can change content type",5,"change_contenttype"
15,"Can delete content type",5,"delete_contenttype"
16,"Can add session",6,"add_session"
17,"Can change session",6,"change_session"
18,"Can delete session",6,"delete_session"
19,"Can add site",7,"add_site"
20,"Can change site",7,"change_site"
21,"Can delete site",7,"delete_site"
22,"Can add log entry",8,"add_logentry"
23,"Can change log entry",8,"change_logentry"
24,"Can delete log entry",8,"delete_logentry"
25,"Can add ticket",9,"add_ticket"
26,"Can change ticket",9,"change_ticket"
27,"Can delete ticket",9,"delete_ticket"
28,"Can add offence",10,"add_offence"
29,"Can change offence",10,"change_offence"
30,"Can delete offence",10,"delete_offence"
31,"Can add make",11,"add_make"
32,"Can change make",11,"change_make"
33,"Can delete make",11,"delete_make"
