"id","name"
1,"No Stopping"
2,"Stop too close to a stop sign"
3,"Stop in a bus zone"
4,"Park too far away from curb"
5,"Stop too close to a crossing"
6,"Stop in a commercial loading zone"
7,"Stop in a commercial lane"
8,"Permit/Residential Parking"
9,"Stop too close to an intersection"
10,"Other"
11,"Exceed time limit for free parking"
12,"Stop in area reserved for certain vehicles"
13,"Expired Meter"
14,"Park in a no-parking zone"
15,"Stop or park facing the wrong way"
16,"Stop too close to a fire hydrant"
