"numTickets","latLong","address","tip"
17899,"49.2838097:-123.1238556","1050 Robson St.","Rank: 1<BR>Address: 1050 Robson St.<BR>Number of tickets: 17899"
15674,"49.2851753:-123.1259842","1150 Robson St.","Rank: 2<BR>Address: 1150 Robson St.<BR>Number of tickets: 15674"
10501,"49.2817116:-123.1228333","850 Hornby St.","Rank: 3<BR>Address: 850 Hornby St.<BR>Number of tickets: 10501"
10426,"49.2623367:-123.090065","650 Broadway St. W.","Rank: 4<BR>Address: 650 Broadway St. W.<BR>Number of tickets: 10426"
9729,"49.2846603:-123.1232986","1050 Alberni St.","Rank: 5<BR>Address: 1050 Alberni St.<BR>Number of tickets: 9729"
9121,"49.2621231:-123.0686722","1750 Broadway St. W.","Rank: 6<BR>Address: 1750 Broadway St. W.<BR>Number of tickets: 9121"
9100,"49.2799988:-123.1255035","1050 Hornby St.","Rank: 7<BR>Address: 1050 Hornby St.<BR>Number of tickets: 9100"
8863,"49.2841492:-123.1192322","650 Hornby St.","Rank: 8<BR>Address: 650 Hornby St.<BR>Number of tickets: 8863"
8328,"49.2759705:-123.1196518","1050 Mainland St","Rank: 9<BR>Address: 1050 Mainland St<BR>Number of tickets: 8328"
8269,"49.2766495:-123.1205673","1050 Homer St.","Rank: 10<BR>Address: 1050 Homer St.<BR>Number of tickets: 8269"
8094,"49.2752647:-123.1218262","1150 Hamilton St.","Rank: 11<BR>Address: 1150 Hamilton St.<BR>Number of tickets: 8094"
7941,"49.2812691:-123.1216431","850 Howe St.","Rank: 12<BR>Address: 850 Howe St.<BR>Number of tickets: 7941"
7848,"49.2621384:-123.0860214","850 Broadway St. W.","Rank: 13<BR>Address: 850 Broadway St. W.<BR>Number of tickets: 7848"
7634,"49.2680397:-123.156311","2250 4th Ave W.","Rank: 14<BR>Address: 2250 4th Ave W.<BR>Number of tickets: 7634"
7462,"49.2808418:-123.124176","950 Hornby St.","Rank: 15<BR>Address: 950 Hornby St.<BR>Number of tickets: 7462"
7403,"49.2679291:-123.1491241","1950 4th Ave W.","Rank: 16<BR>Address: 1950 4th Ave W.<BR>Number of tickets: 7403"
7354,"49.2621689:-123.1384277","2650 Granville St.","Rank: 17<BR>Address: 2650 Granville St.<BR>Number of tickets: 7354"
7062,"49.2621956:-123.0706787","1650 Broadway St. W.","Rank: 18<BR>Address: 1650 Broadway St. W.<BR>Number of tickets: 7062"
6961,"49.2622337:-123.0764618","1350 Broadway St. W.","Rank: 19<BR>Address: 1350 Broadway St. W.<BR>Number of tickets: 6961"
6903,"49.2622566:-123.0799866","1150 Broadway St. W.","Rank: 20<BR>Address: 1150 Broadway St. W.<BR>Number of tickets: 6903"
6889,"49.2763138:-123.1202545","1050 Hamilton St.","Rank: 21<BR>Address: 1050 Hamilton St.<BR>Number of tickets: 6889"
6821,"49.2622948:-123.0841064","950 Broadway St. W.","Rank: 22<BR>Address: 950 Broadway St. W.<BR>Number of tickets: 6821"
6676,"49.2736473:-123.121048","150 Davie St.","Rank: 23<BR>Address: 150 Davie St.<BR>Number of tickets: 6676"
6658,"49.2756004:-123.1224899","1150 Homer St.","Rank: 24<BR>Address: 1150 Homer St.<BR>Number of tickets: 6658"
6562,"49.2749138:-123.1212921","1150 Mainland St","Rank: 25<BR>Address: 1150 Mainland St<BR>Number of tickets: 6562"
6553,"49.2621498:-123.0879593","750 Broadway St. W.","Rank: 26<BR>Address: 750 Broadway St. W.<BR>Number of tickets: 6553"
6504,"49.2775993:-123.1194","950 Homer St.","Rank: 27<BR>Address: 950 Homer St.<BR>Number of tickets: 6504"
6461,"49.2809639:-123.1323624","1150 Davie St.","Rank: 28<BR>Address: 1150 Davie St.<BR>Number of tickets: 6461"
6386,"49.2858658:-123.1249619","1150 Alberni St.","Rank: 29<BR>Address: 1150 Alberni St.<BR>Number of tickets: 6386"
6202,"49.2795906:-123.1302567","1050 Davie St.","Rank: 30<BR>Address: 1050 Davie St.<BR>Number of tickets: 6202"
6158,"49.2623787:-123.1399918","1550 10th Ave W.","Rank: 31<BR>Address: 1550 10th Ave W.<BR>Number of tickets: 6158"
6126,"49.2742119:-123.1234283","1250 Hamilton St.","Rank: 32<BR>Address: 1250 Hamilton St.<BR>Number of tickets: 6126"
6029,"49.2679634:-123.1515503","2050 4th Ave W.","Rank: 33<BR>Address: 2050 4th Ave W.<BR>Number of tickets: 6029"
5970,"49.2802773:-123.1231689","950 Howe St.","Rank: 34<BR>Address: 950 Howe St.<BR>Number of tickets: 5970"
5731,"49.2680016:-123.1539459","2150 4th Ave W.","Rank: 35<BR>Address: 2150 4th Ave W.<BR>Number of tickets: 5731"
5612,"49.2622032:-123.0725632","1550 Broadway St. W.","Rank: 36<BR>Address: 1550 Broadway St. W.<BR>Number of tickets: 5612"
5601,"49.2875633:-123.1139603","950 Canada Pl.","Rank: 37<BR>Address: 950 Canada Pl.<BR>Number of tickets: 5601"
5487,"49.2802658:-123.1012039","150 Pender St. E.","Rank: 38<BR>Address: 150 Pender St. E.<BR>Number of tickets: 5487"
5399,"49.2873077:-123.1181564","1050 Hastings St. W.","Rank: 39<BR>Address: 1050 Hastings St. W.<BR>Number of tickets: 5399"
5248,"49.2846336:-123.1166","550 Howe St.","Rank: 40<BR>Address: 550 Howe St.<BR>Number of tickets: 5248"
5194,"49.2873077:-123.115593","950 Cordova St. W.","Rank: 41<BR>Address: 950 Cordova St. W.<BR>Number of tickets: 5194"
5187,"49.2787857:-123.1176071","850 Homer St.","Rank: 42<BR>Address: 850 Homer St.<BR>Number of tickets: 5187"
5015,"49.2871132:-123.123291","1150 Melville St.","Rank: 43<BR>Address: 1150 Melville St.<BR>Number of tickets: 5015"
4972,"49.2830009:-123.1208954","750 Hornby St.","Rank: 44<BR>Address: 750 Hornby St.<BR>Number of tickets: 4972"
4968,"49.2877769:-123.1218033","1150 Pender St. W.","Rank: 45<BR>Address: 1150 Pender St. W.<BR>Number of tickets: 4968"
4952,"49.2744217:-123.1239624","1250 Homer St.","Rank: 46<BR>Address: 1250 Homer St.<BR>Number of tickets: 4952"
4837,"49.2643623:-123.1370773","1450 8th Ave W.","Rank: 47<BR>Address: 1450 8th Ave W.<BR>Number of tickets: 4837"
4822,"49.2627945:-123.1015091","150 Broadway St. W.","Rank: 48<BR>Address: 150 Broadway St. W.<BR>Number of tickets: 4822"
4731,"49.2824783:-123.1233368","850 Burrard St.","Rank: 49<BR>Address: 850 Burrard St.<BR>Number of tickets: 4731"
4726,"49.2821693:-123.1342316","1250 Davie St.","Rank: 50<BR>Address: 1250 Davie St.<BR>Number of tickets: 4726"
4724,"49.2762642:-123.1233826","1150 Richards St.","Rank: 51<BR>Address: 1150 Richards St.<BR>Number of tickets: 4724"
4717,"49.2343216:-123.1572189","2150 41st Ave W.","Rank: 52<BR>Address: 2150 41st Ave W.<BR>Number of tickets: 4717"
4700,"49.2850037:-123.1239395","750 Thurlow St.","Rank: 53<BR>Address: 750 Thurlow St.<BR>Number of tickets: 4700"
4654,"49.2584496:-123.1385574","3050 Granville St.","Rank: 54<BR>Address: 3050 Granville St.<BR>Number of tickets: 4654"
4594,"49.2789536:-123.12603","850 Helmcken St.","Rank: 55<BR>Address: 850 Helmcken St.<BR>Number of tickets: 4594"
4588,"49.2705383:-123.1468201","1850 1st Ave W.","Rank: 56<BR>Address: 1850 1st Ave W.<BR>Number of tickets: 4588"
4583,"49.2863388:-123.1277466","1250 Robson St.","Rank: 57<BR>Address: 1250 Robson St.<BR>Number of tickets: 4583"
4568,"49.2622452:-123.0780716","1250 Broadway St. W.","Rank: 58<BR>Address: 1250 Broadway St. W.<BR>Number of tickets: 4568"
4524,"49.2622757:-123.0821991","1050 Broadway St. W.","Rank: 59<BR>Address: 1050 Broadway St. W.<BR>Number of tickets: 4524"
4522,"49.2633057:-123.143219","2550 Pine St.","Rank: 60<BR>Address: 2550 Pine St.<BR>Number of tickets: 4522"
4483,"49.2620506:-123.0745392","1450 Broadway St. W.","Rank: 61<BR>Address: 1450 Broadway St. W.<BR>Number of tickets: 4483"
4477,"49.2868576:-123.1144714","850 Cordova St. W.","Rank: 62<BR>Address: 850 Cordova St. W.<BR>Number of tickets: 4477"
4474,"49.2677689:-123.1467438","1850 4th Ave W.","Rank: 63<BR>Address: 1850 4th Ave W.<BR>Number of tickets: 4474"
4473,"49.2851791:-123.1174011","550 Hornby St.","Rank: 64<BR>Address: 550 Hornby St.<BR>Number of tickets: 4473"
4368,"49.2680817:-123.1586838","2350 4th Ave W.","Rank: 65<BR>Address: 2350 4th Ave W.<BR>Number of tickets: 4368"
4358,"49.2873497:-123.1293106","1350 Robson St.","Rank: 66<BR>Address: 1350 Robson St.<BR>Number of tickets: 4358"
4318,"49.2603111:-123.1384811","2850 Granville St.","Rank: 67<BR>Address: 2850 Granville St.<BR>Number of tickets: 4318"
4257,"49.2863579:-123.1262054","750 Bute St.","Rank: 68<BR>Address: 750 Bute St.<BR>Number of tickets: 4257"
4141,"49.2783585:-123.1202011","950 Richards St.","Rank: 69<BR>Address: 950 Richards St.<BR>Number of tickets: 4141"
4093,"49.2792358:-123.1247635","1050 Howe St.","Rank: 70<BR>Address: 1050 Howe St.<BR>Number of tickets: 4093"
4055,"49.2908592:-123.134758","1750 Robson St.","Rank: 71<BR>Address: 1750 Robson St.<BR>Number of tickets: 4055"
3948,"49.2788086:-123.1272888","1150 Hornby St.","Rank: 72<BR>Address: 1150 Hornby St.<BR>Number of tickets: 3948"
3937,"49.264019:-123.1160812","550 8th Ave W.","Rank: 73<BR>Address: 550 8th Ave W.<BR>Number of tickets: 3937"
3898,"49.2878113:-123.1174927","1050 Cordova St. W.","Rank: 74<BR>Address: 1050 Cordova St. W.<BR>Number of tickets: 3898"
3879,"49.2754593:-123.1238785","450 Davie St.","Rank: 75<BR>Address: 450 Davie St.<BR>Number of tickets: 3879"
3819,"49.2591705:-123.1383209","2950 Granville St.","Rank: 76<BR>Address: 2950 Granville St.<BR>Number of tickets: 3819"
3804,"49.2644043:-123.1399002","1550 8th Ave W.","Rank: 77<BR>Address: 1550 8th Ave W.<BR>Number of tickets: 3804"
3762,"49.23452:-123.1591339","2250 41st Ave W.","Rank: 78<BR>Address: 2250 41st Ave W.<BR>Number of tickets: 3762"
3716,"49.278183:-123.1263504","1150 Howe St.","Rank: 79<BR>Address: 1150 Howe St.<BR>Number of tickets: 3716"
3710,"49.2824707:-123.1058578","50 Cordova St. W.","Rank: 80<BR>Address: 50 Cordova St. W.<BR>Number of tickets: 3710"
3700,"49.2652321:-123.1396942","1550 7th Ave W.","Rank: 81<BR>Address: 1550 7th Ave W.<BR>Number of tickets: 3700"
3659,"49.2621803:-123.0918808","550 Broadway St. W.","Rank: 82<BR>Address: 550 Broadway St. W.<BR>Number of tickets: 3659"
3636,"49.2857513:-123.1201019","1050 Dunsmuir St.","Rank: 83<BR>Address: 1050 Dunsmuir St.<BR>Number of tickets: 3636"
3614,"49.280304:-123.1074753","550 Abbott St.","Rank: 84<BR>Address: 550 Abbott St.<BR>Number of tickets: 3614"
3503,"49.2784996:-123.123558","1050 Granville St.","Rank: 85<BR>Address: 1050 Granville St.<BR>Number of tickets: 3503"
3490,"49.2805405:-123.1101532","550 Beatty St.","Rank: 86<BR>Address: 550 Beatty St.<BR>Number of tickets: 3490"
3485,"49.2344284:-123.1534729","2050 41st Ave W.","Rank: 87<BR>Address: 2050 41st Ave W.<BR>Number of tickets: 3485"
3475,"49.2644806:-123.1445618","1750 8th Ave W.","Rank: 88<BR>Address: 1750 8th Ave W.<BR>Number of tickets: 3475"
3474,"49.286087:-123.1143646","350 Howe St.","Rank: 89<BR>Address: 350 Howe St.<BR>Number of tickets: 3474"
